	Rescaled to 1000 kWh per week		Production of food	Metal company	Restaurant (high cooling load)	Sport hall	Repair / metal shop	G0 SLP
04:45:00	1	Mo	2846.244727	5425.955428	2069.203839	320.6780573	2402.65333	3020.111833
05:00:00	1	Mo	2472.254068	5336.723128	4566.500154	306.3772804	2457.54926	3133.612736
05:15:00	1	Mo	2557.698317	5228.076911	2909.274383	348.7609391	2601.95005	3207.635177
05:30:00	1	Mo	2684.162463	4984.547632	3720.182164	369.3517214	2521.539033	3256.983404
05:45:00	1	Mo	2436.663125	5914.132603	3914.941568	346.17979	2460.204753	3311.266514
06:00:00	1	Mo	2647.099639	6385.081627	3015.93396	329.1200158	2356.735599	3409.962968
06:15:00	1	Mo	3395.224898	7663.611089	4153.605082	296.0274242	2471.414683	3577.746981
06:30:00	1	Mo	7261.978202	9001.116094	4987.266787	319.6007733	2309.989513	3804.748788
06:45:00	1	Mo	7856.570547	9135.09304	5890.562101	313.9189876	2393.975741	4090.968586
07:00:00	1	Mo	7745.591616	9430.869895	2305.837921	365.9017933	2280.753064	4426.536611
07:15:00	1	Mo	10993.17792	9405.430923	1892.78166	316.3028102	4424.107692	4816.387548
07:30:00	1	Mo	14371.49731	10322.53547	3993.872782	341.6785811	6373.289062	5295.065374
07:45:00	1	Mo	10085.97615	10811.42153	1847.710307	327.188034	8353.760675	5916.853197
08:00:00	1	Mo	13174.83793	11140.1539	2527.623876	326.7029456	17194.16915	6731.099048
08:15:00	1	Mo	8577.937847	11061.9278	4400.576651	354.4637865	13158.49327	7752.607375
08:30:00	1	Mo	10670.40099	10585.60185	2487.981593	876.1409704	10008.49661	8858.007906
08:45:00	1	Mo	9659.981153	10294.49868	1999.877528	587.8174852	10001.4334	9894.320681
09:00:00	1	Mo	9052.317877	9533.336331	3657.357615	584.4353476	10197.86538	10698.69697
09:15:00	1	Mo	7805.550436	9764.062784	4333.969155	2924.413298	10560.01668	11162.57034
09:30:00	1	Mo	6794.620656	9175.414355	2078.636141	3413.258065	11930.49149	11350.09369
09:45:00	1	Mo	8138.408254	8875.084676	1994.350644	3657.595243	10736.90424	11369.83302
10:00:00	1	Mo	7480.548595	9153.823635	3850.792865	4651.261272	10524.45849	11345.1588
10:15:00	1	Mo	7435.555277	7509.946631	3136.260361	7152.612224	9901.991326	11350.09369
10:30:00	1	Mo	7609.673294	7447.105571	2413.3874	6917.727913	11095.83541	11409.31148
10:45:00	1	Mo	11004.65829	7687.516073	3856.249242	9331.430379	9865.233884	11498.13837
11:00:00	1	Mo	9674.419301	7196.57938	2403.115937	9900.137655	9957.469628	11621.50884
11:15:00	1	Mo	11345.22602	6796.631436	2199.406983	12130.90609	10071.1084	11749.81439
11:30:00	1	Mo	10272.35071	7517.147744	3677.488907	12211.51549	10993.37766	11843.57596
11:45:00	1	Mo	12779.46435	6894.474657	2194.677077	8561.038395	14489.4601	11863.31529
12:00:00	1	Mo	11218.62261	6567.144791	2162.335775	6389.942123	11146.22923	11759.68395
12:15:00	1	Mo	12305.34078	6910.512471	3863.784569	6264.392355	12471.86878	11498.13837
12:30:00	1	Mo	11042.78241	7276.288335	2135.901201	6689.377591	11314.7355	11108.28723
12:45:00	1	Mo	9209.958809	6181.008055	3093.801857	6506.091988	10432.85016	10644.41386
13:00:00	1	Mo	15100.55329	6216.985062	4215.728225	7352.347943	10663.42258	10145.9967
13:15:00	1	Mo	14600.70397	6330.832894	2582.236553	8573.515305	17155.10331	9657.449309
13:30:00	1	Mo	11248.15024	7041.581481	1301.898371	6218.971461	11521.92298	9213.315064
13:45:00	1	Mo	12107.36865	7035.57834	2801.065068	6142.23624	11688.28377	8843.203458
14:00:00	1	Mo	10474.05763	7302.813051	1537.733131	7783.506002	10445.923	8576.72299
14:15:00	1	Mo	9777.161813	7555.749132	4603.807133	7506.985167	10321.12047	8438.547874
14:30:00	1	Mo	10208.72673	7221.23542	8004.263861	7728.932764	11607.71015	8423.743426
14:45:00	1	Mo	14720.79994	7054.966359	11249.24482	7308.410859	17651.92009	8522.439881
15:00:00	1	Mo	10333.65467	7178.936522	9546.705195	7339.927837	14067.70566	8714.897908
15:15:00	1	Mo	9215.782643	7555.796945	10448.23416	4833.323288	10828.34454	8986.313258
15:30:00	1	Mo	10793.2297	6666.431023	11436.49457	4081.468581	9875.737015	9287.337504
15:45:00	1	Mo	10343.84256	7050.563613	8448.667595	3651.830027	10801.86661	9568.62242
16:00:00	1	Mo	9094.158104	6879.123484	9634.368324	5962.6617	12558.77278	9775.885094
16:15:00	1	Mo	12257.08142	6901.829168	9083.422593	6425.79232	11452.89456	9874.581549
16:30:00	1	Mo	10221.49874	6682.915753	9835.980396	9049.258319	13687.47561	9904.190446
16:45:00	1	Mo	8342.341785	7073.108593	10278.66424	12504.42964	9793.076696	9914.060012
17:00:00	1	Mo	8717.304782	7735.075687	10406.87443	11620.49041	12528.34763	9958.473555
17:15:00	1	Mo	12310.68396	7270.360233	11627.51667	11908.73281	14609.48675	10067.03958
17:30:00	1	Mo	9730.521891	7675.790027	10364.73871	12497.01519	11967.58692	10155.86647
17:45:00	1	Mo	8890.33497	7745.419151	11915.79499	11287.28921	10639.09588	10141.06202
18:00:00	1	Mo	7134.136649	7746.873452	9190.551473	11240.09588	6474.21661	9914.060012
18:15:00	1	Mo	6949.219743	7940.019847	9617.113978	11751.99845	2481.558264	9410.708172
18:30:00	1	Mo	6503.090146	6783.862146	10933.91203	11742.38706	2324.596557	8714.897908
18:45:00	1	Mo	6809.249025	7553.280805	11266.69153	11012.1524	2428.086795	7920.391388
19:00:00	1	Mo	7979.114773	7853.395328	4624.919824	11538.27898	2343.964638	7145.624198
19:15:00	1	Mo	6536.687586	7025.701049	5401.37801	14462.08931	2431.231217	6479.423029
19:30:00	1	Mo	7237.297818	7264.6785	3998.804633	13934.27013	2409.529178	5926.722763
19:45:00	1	Mo	6596.384003	7325.888619	5472.842774	13765.8188	2358.197437	5492.458283
20:00:00	1	Mo	3546.012763	7199.569661	3772.710186	14063.83532	2391.182083	5161.82514
20:15:00	1	Mo	3446.775123	7695.860039	3455.435391	11556.44165	2418.832585	4934.823333
20:30:00	1	Mo	3710.99463	8238.414443	5611.017331	10474.57445	2460.089109	4771.974203
20:45:00	1	Mo	3464.588641	7898.709077	4024.647433	11601.01203	2406.583299	4643.668653
21:00:00	1	Mo	3506.776829	7662.661477	3973.788358	11888.76699	2441.199096	4520.298184
21:15:00	1	Mo	3394.885641	7477.915494	3826.3757	8662.936995	2423.765012	4367.318619
21:30:00	1	Mo	3210.12414	8153.669225	2993.986185	6241.02636	2404.030991	4204.469489
21:45:00	1	Mo	2962.81842	8338.99228	4091.084163	6335.640238	4509.082801	4051.489924
22:00:00	1	Mo	3164.277586	8487.145005	3878.849925	5328.361988	5047.919129	3918.249691
22:15:00	1	Mo	3651.50457	7678.073744	2882.567968	4674.867149	2444.394951	3829.422802
22:30:00	1	Mo	3475.0988	7143.274945	4573.945003	4501.669619	2360.713965	3770.205009
22:45:00	1	Mo	3182.300007	6177.043592	3040.062983	2244.283166	2419.134951	3730.726347
23:00:00	1	Mo	2992.325249	5429.75454	2857.248064	591.6561173	2404.865095	3686.313002
23:15:00	1	Mo	3102.545842	5537.664642	4324.483666	544.1286311	2452.255208	3636.964775
23:30:00	1	Mo	2977.31495	5862.832314	2559.056936	301.8196514	2449.954952	3567.877217
23:45:00	1	Mo	3017.39945	5595.199165	2692.531746	303.0459258	2388.475638	3479.050526
00:00:00	2	Di	1800.379588	5796.484331	4615.751415	309.3666599	2419.831689	3365.549425
00:15:00	2	Di	1681.73883	5975.693347	2651.195043	339.0779296	2395.258683	3232.309191
00:30:00	2	Di	1659.452455	5921.094652	2542.994899	368.9391731	2364.839761	3089.199391
00:45:00	2	Di	1597.854354	5841.289407	4919.23121	314.2840872	2410.564221	2941.154709
01:00:00	2	Di	1665.713522	6134.818405	2995.658189	311.8553348	2379.603339	2812.849358
01:15:00	2	Di	1637.786635	6711.910124	2709.278071	297.5228216	2432.383022	2704.283138
01:30:00	2	Di	2622.093798	6950.104644	4869.726041	298.0852478	2374.105632	2620.391132
01:45:00	2	Di	2445.08191	6856.205965	2821.773869	342.7328364	2388.02089	2551.303574
02:00:00	2	Di	1921.870802	6748.881899	3161.667075	345.3049181	2427.085295	2492.08578
02:15:00	2	Di	1595.820832	6870.768229	4616.152451	335.0002315	2417.06231	2437.802671
02:30:00	2	Di	1674.12753	7133.028435	2795.442	306.1318336	2363.962371	2393.389326
02:45:00	2	Di	1666.292253	6815.164804	2965.884091	290.7550442	2454.714553	2363.780429
03:00:00	2	Di	1923.973004	6207.18281	3755.005082	277.8751096	2380.728629	2353.910664
03:15:00	2	Di	2064.326501	6856.921162	3507.025216	337.5690748	2457.87383	2363.780429
03:30:00	2	Di	2079.813414	6910.821261	3928.145609	364.4130885	2371.224123	2403.258892
03:45:00	2	Di	1635.464596	6000.470247	3468.919017	338.9792663	2399.929953	2477.281332
04:00:00	2	Di	1598.021222	5837.745961	3095.372379	271.1222768	2431.416183	2580.912669
04:15:00	2	Di	1670.877418	6279.826786	4040.862915	293.130519	2379.164883	2719.087587
04:30:00	2	Di	1699.756368	5913.016311	2749.842656	291.5519546	3601.60315	2872.067151
04:45:00	2	Di	2671.67727	6567.880574	2770.770927	310.3867801	4505.240683	3020.111833
05:00:00	2	Di	2089.047434	6496.325663	4599.243714	359.0579494	2445.22586	3133.612736
05:15:00	2	Di	1979.51045	6459.5126	3883.54906	336.3732894	2540.942575	3207.635177
05:30:00	2	Di	1668.695285	6708.889296	3950.198127	302.6163459	2503.413163	3256.983404
05:45:00	2	Di	1596.839026	7779.78713	3821.133291	282.5005051	2426.78213	3311.266514
06:00:00	2	Di	1913.795307	7651.80934	4942.429371	293.9542721	2420.311354	3409.962968
06:15:00	2	Di	2741.267325	8649.049172	4431.006101	325.5253912	2381.414185	3577.746981
06:30:00	2	Di	4179.540212	9963.025718	5563.177033	409.4440798	2384.327	3804.748788
06:45:00	2	Di	5988.409918	10731.20855	5904.99289	351.0623864	2276.862229	4090.968586
07:00:00	2	Di	6415.472787	10610.58594	2922.504915	416.1056376	2500.700169	4426.536611
07:15:00	2	Di	12099.37765	10947.28309	3870.589961	386.361912	6702.932989	4816.387548
07:30:00	2	Di	15591.72716	11102.20131	3015.81801	526.1752743	6934.395425	5295.065374
07:45:00	2	Di	16055.03698	11357.93907	2830.940241	426.3702639	9847.926305	5916.853197
08:00:00	2	Di	14999.9771	11870.60992	4527.314335	555.1838589	14007.59139	6731.099048
08:15:00	2	Di	16568.27653	11725.91697	4356.838825	738.2125492	12630.51531	7752.607375
08:30:00	2	Di	16793.01639	10562.37621	5040.704477	694.3582248	13888.2586	8858.007906
08:45:00	2	Di	19649.20167	10507.8572	6233.694776	455.1081663	14989.42673	9894.320681
09:00:00	2	Di	16668.75252	9910.097144	6342.679264	1296.525471	13212.39217	10698.69697
09:15:00	2	Di	15285.78992	10651.93921	5696.705844	3427.350433	12326.57686	11162.57034
09:30:00	2	Di	12690.47213	9104.049366	8748.205088	3335.661958	13203.07167	11350.09369
09:45:00	2	Di	11628.08957	9125.577664	6527.916907	3559.142109	17399.13193	11369.83302
10:00:00	2	Di	10003.51855	9062.603791	12098.44179	4266.49937	13364.25725	11345.1588
10:15:00	2	Di	10575.61551	6700.586502	14136.4084	11529.34464	12737.84032	11350.09369
10:30:00	2	Di	10830.62859	7702.383142	11206.34697	11933.55306	11782.24011	11409.31148
10:45:00	2	Di	15101.88994	7221.602647	13662.3834	12093.30034	11122.24306	11498.13837
11:00:00	2	Di	13831.19111	6401.845264	13370.71177	11861.40131	14189.92634	11621.50884
11:15:00	2	Di	12343.17192	6193.125235	10786.70804	11939.39543	12547.6122	11749.81439
11:30:00	2	Di	7947.090482	6302.304031	11687.17002	11802.2162	16067.14156	11843.57596
11:45:00	2	Di	11501.19063	6293.940143	10950.54689	11937.28754	12981.89705	11863.31529
12:00:00	2	Di	16787.07706	4407.614624	11401.36802	12007.31375	13016.30393	11759.68395
12:15:00	2	Di	16269.53714	5198.151522	10189.17118	10286.9303	12464.83177	11498.13837
12:30:00	2	Di	15174.32694	5657.999717	12702.87942	9391.48443	10882.08627	11108.28723
12:45:00	2	Di	12519.27027	5810.996126	8788.792089	9116.249361	10236.41498	10644.41386
13:00:00	2	Di	14903.18325	5603.796804	10969.41598	9043.723005	11187.34343	10145.9967
13:15:00	2	Di	10196.12626	6324.443932	9604.265327	9080.911166	14169.31749	9657.449309
13:30:00	2	Di	10392.42036	6223.62504	11677.80354	9048.178277	10626.1029	9213.315064
13:45:00	2	Di	12230.03006	6159.501672	8519.758628	9036.895785	10581.22548	8843.203458
14:00:00	2	Di	14025.73585	6828.967379	9937.286098	9311.722481	12012.96269	8576.72299
14:15:00	2	Di	14812.1419	6239.494182	7688.603401	11002.79587	12615.65414	8438.547874
14:30:00	2	Di	16043.21947	6345.530627	11055.31683	9282.888338	11233.98681	8423.743426
14:45:00	2	Di	14307.19906	6977.999325	9259.656888	9176.018625	11994.0214	8522.439881
15:00:00	2	Di	17376.71431	8166.548751	9564.930343	10932.13023	17888.1335	8714.897908
15:15:00	2	Di	11022.66309	7014.411294	8647.813945	11071.84797	14218.60342	8986.313258
15:30:00	2	Di	8383.878847	7046.974346	10382.59216	9620.135659	11546.24649	9287.337504
15:45:00	2	Di	10163.08207	6883.696231	11588.09447	9486.294819	11398.13184	9568.62242
16:00:00	2	Di	8662.538837	6561.572628	10560.46728	9796.273177	13426.35983	9775.885094
16:15:00	2	Di	9190.56811	7621.395863	8813.527556	9765.98516	11143.87163	9874.581549
16:30:00	2	Di	10925.73507	7780.572054	10597.09364	7637.690276	11055.64891	9904.190446
16:45:00	2	Di	7144.285473	7417.492956	9486.748627	11046.11502	9798.615454	9914.060012
17:00:00	2	Di	6978.477756	7401.836314	10739.11758	12728.72922	11934.12947	9958.473555
17:15:00	2	Di	6997.397572	7512.180543	13523.41859	12488.62202	20918.76351	10067.03958
17:30:00	2	Di	6470.056578	7884.116266	12296.27662	13635.65947	21467.75924	10155.86647
17:45:00	2	Di	6902.386628	8086.40749	12073.85223	15023.24473	18100.56903	10141.06202
18:00:00	2	Di	6432.006343	7584.77073	10402.94884	13106.73491	10120.41861	9914.060012
18:15:00	2	Di	6237.571571	7585.978663	11771.31104	14612.38794	12637.99317	9410.708172
18:30:00	2	Di	5496.771537	6550.340646	11582.65277	14212.75684	11867.1558	8714.897908
18:45:00	2	Di	5522.618726	7301.876057	10936.46334	15162.04747	8763.585928	7920.391388
19:00:00	2	Di	5129.530767	7598.990337	8274.114066	14788.89929	2397.487859	7145.624198
19:15:00	2	Di	7677.542439	7397.573686	5579.250277	15040.67279	2455.984557	6479.423029
19:30:00	2	Di	7617.901221	6754.176483	5010.58151	14162.54522	2464.299721	5926.722763
19:45:00	2	Di	7139.107883	7058.129297	4171.326896	14580.95847	2453.095062	5492.458283
20:00:00	2	Di	8608.975364	7096.682872	5870.272269	13992.55251	2445.866054	5161.82514
20:15:00	2	Di	5225.577315	7456.345361	4875.162448	12791.25732	2441.436293	4934.823333
20:30:00	2	Di	5172.010869	7182.913602	4351.77574	13284.39462	2426.895857	4771.974203
20:45:00	2	Di	5126.793786	7341.415104	6052.158976	13624.48598	2543.367099	4643.668653
21:00:00	2	Di	5415.814901	7134.855275	3852.785413	13608.67452	2408.53231	4520.298184
21:15:00	2	Di	5880.135698	7623.358173	4823.253505	6487.679834	2312.796748	4367.318619
21:30:00	2	Di	4771.461389	7439.656763	4555.260946	1693.820319	2337.641452	4204.469489
21:45:00	2	Di	4321.624597	7332.284885	4239.774105	1208.166071	2366.484649	4051.489924
22:00:00	2	Di	4194.463679	7160.850069	5101.773677	1109.113713	6643.761756	3918.249691
22:15:00	2	Di	3900.763032	5691.39949	3438.256851	1164.371669	2362.541423	3829.422802
22:30:00	2	Di	3860.775341	5423.592356	3679.81932	1031.996122	2462.529925	3770.205009
22:45:00	2	Di	3848.846163	5434.141348	5112.635486	599.8088747	2382.671411	3730.726347
23:00:00	2	Di	3636.356064	5416.725268	3695.172818	576.4831312	2389.447268	3686.313002
23:15:00	2	Di	3679.759249	5289.728632	3266.413986	503.2769997	2475.170867	3636.964775
23:30:00	2	Di	3657.843869	4582.604176	4112.837126	357.7608861	2423.509126	3567.877217
23:45:00	2	Di	3679.420417	4560.756131	5369.101102	328.036399	2295.970112	3479.050526
00:00:00	3	Mi	3436.310184	4406.89179	3417.133768	332.2137438	2346.911476	3365.549425
00:15:00	3	Mi	3840.900171	4663.910206	3526.743246	331.7588804	2351.80445	3232.309191
00:30:00	3	Mi	2066.104519	4575.437263	5527.861786	337.143525	2388.528827	3089.199391
00:45:00	3	Mi	2133.781108	4600.236409	3237.644925	368.5217313	2389.910801	2941.154709
01:00:00	3	Mi	2122.807284	4053.53426	4091.567118	335.4145789	2355.361292	2812.849358
01:15:00	3	Mi	2156.83166	4466.236884	4667.128495	294.2599771	2349.222592	2704.283138
01:30:00	3	Mi	2592.026071	4877.600091	4096.780183	304.1341963	2444.266689	2620.391132
01:45:00	3	Mi	2589.191432	4627.935855	3438.40724	345.6953972	2348.965589	2551.303574
02:00:00	3	Mi	2476.714506	4785.868586	3392.360194	380.6193643	2389.020473	2492.08578
02:15:00	3	Mi	2090.005123	4312.811489	6034.727343	350.8904634	2424.044537	2437.802671
02:30:00	3	Mi	2094.9564	4135.394119	3230.508189	319.2120933	2389.681111	2393.389326
02:45:00	3	Mi	2516.099263	4632.764598	3596.241546	302.0935721	2409.255882	2363.780429
03:00:00	3	Mi	2678.253497	4505.973823	5627.360786	300.9307464	2400.400994	2353.910664
03:15:00	3	Mi	3008.450126	4341.110586	2917.447537	361.8156034	2379.928387	2363.780429
03:30:00	3	Mi	2111.101234	4543.224836	2670.636545	330.6748079	3600.206481	2403.258892
03:45:00	3	Mi	2124.752171	4493.898811	5147.210609	353.9922514	4817.785317	2477.281332
04:00:00	3	Mi	2380.337407	4389.692195	4031.313848	310.2074687	2382.918991	2580.912669
04:15:00	3	Mi	2607.246335	4652.598868	3353.213501	299.1367685	2439.179484	2719.087587
04:30:00	3	Mi	2472.208636	4739.898409	4850.062624	303.9307767	2375.910728	2872.067151
04:45:00	3	Mi	2083.41828	4773.589042	4256.55813	302.338827	2352.361424	3020.111833
05:00:00	3	Mi	2105.215621	4878.564977	3304.934264	325.5031541	2507.823916	3133.612736
05:15:00	3	Mi	2144.366422	4847.600327	4178.726913	350.8181631	2543.050356	3207.635177
05:30:00	3	Mi	2374.574504	4651.857772	5876.938276	313.6490249	2518.399403	3256.983404
05:45:00	3	Mi	2517.815503	5024.9576	4331.053082	280.8320572	2406.253938	3311.266514
06:00:00	3	Mi	2629.616038	5841.497924	4169.31397	330.0167649	2402.386263	3409.962968
06:15:00	3	Mi	3649.384535	7564.024036	6826.861813	324.1415626	2409.28623	3577.746981
06:30:00	3	Mi	4221.305709	8943.534422	5639.016924	333.7801941	2395.686756	3804.748788
06:45:00	3	Mi	5419.663064	9688.209385	6667.228549	365.0291523	2400.517116	4090.968586
07:00:00	3	Mi	5443.779153	10420.55799	3985.042645	356.3690215	2443.124308	4426.536611
07:15:00	3	Mi	5576.769424	10065.39786	3230.280772	347.5738374	4839.215817	4816.387548
07:30:00	3	Mi	9440.445217	10663.30002	4249.388789	345.6217776	5932.917902	5295.065374
07:45:00	3	Mi	12422.62759	10833.12514	2624.348022	299.4873553	8720.451472	5916.853197
08:00:00	3	Mi	9006.132278	10715.61035	2877.429078	705.453177	15195.91141	6731.099048
08:15:00	3	Mi	7681.965937	10716.83688	4160.121108	784.3978023	14064.17501	7752.607375
08:30:00	3	Mi	7715.750626	10565.37446	2179.789824	1213.302223	12214.94684	8858.007906
08:45:00	3	Mi	7171.10415	10875.85635	3086.388594	3496.418273	11778.36062	9894.320681
09:00:00	3	Mi	6828.332737	9876.13358	5041.576649	4495.673349	10819.73068	10698.69697
09:15:00	3	Mi	7357.201023	10117.74471	4471.310665	6282.890099	10648.594	11162.57034
09:30:00	3	Mi	7124.490553	10595.52895	7056.936872	6196.23952	10878.83547	11350.09369
09:45:00	3	Mi	5630.159235	10017.80039	3961.942298	6171.409672	17289.29343	11369.83302
10:00:00	3	Mi	7224.393331	9786.830225	4113.523452	7080.177216	10937.84058	11345.1588
10:15:00	3	Mi	7066.391912	7512.997342	14412.0019	12040.45425	10858.9997	11350.09369
10:30:00	3	Mi	6194.394274	8544.787107	10494.49598	12063.49823	15447.8102	11409.31148
10:45:00	3	Mi	9888.056673	8945.931694	13065.81652	11998.16678	10973.53423	11498.13837
11:00:00	3	Mi	11792.38061	8056.925695	13114.41692	9192.289884	10836.80506	11621.50884
11:15:00	3	Mi	10019.04113	7983.415779	11123.91769	7281.135754	15128.25666	11749.81439
11:30:00	3	Mi	9462.144899	8025.86542	11442.43431	6381.187406	11109.93755	11843.57596
11:45:00	3	Mi	7099.789364	8645.61264	9513.768045	6362.556096	11861.86942	11863.31529
12:00:00	3	Mi	5668.264668	7538.354634	9136.586811	6208.350658	11477.37013	11759.68395
12:15:00	3	Mi	7865.435376	7565.588571	11934.16278	5040.30765	12794.94274	11498.13837
12:30:00	3	Mi	6827.455935	8692.219322	9588.021724	639.1682511	20743.57419	11108.28723
12:45:00	3	Mi	10897.58909	7968.079881	10680.96649	570.2260616	15984.60519	10644.41386
13:00:00	3	Mi	9577.285774	8302.459452	11258.44746	652.3770873	11441.46692	10145.9967
13:15:00	3	Mi	6510.699004	8737.14061	12012.90204	598.5392297	17485.48646	9657.449309
13:30:00	3	Mi	7775.576971	8536.297046	11203.06287	540.2985868	14316.09424	9213.315064
13:45:00	3	Mi	7144.633646	8528.45312	10105.14754	475.6683636	11254.35032	8843.203458
14:00:00	3	Mi	10205.21018	8569.145646	10297.18038	518.461692	13459.34575	8576.72299
14:15:00	3	Mi	11540.57581	8016.481529	10705.21615	755.3123596	10890.14043	8438.547874
14:30:00	3	Mi	7221.72004	7059.192463	9607.351351	1436.643147	11604.54241	8423.743426
14:45:00	3	Mi	6762.163271	6648.803439	11676.25482	3010.074989	11184.00063	8522.439881
15:00:00	3	Mi	11854.59746	6898.394628	9016.618246	5538.659786	10940.93421	8714.897908
15:15:00	3	Mi	7782.733204	6853.05166	10663.1546	6501.351929	12078.76586	8986.313258
15:30:00	3	Mi	11224.06175	6754.008475	11987.72152	7068.457948	11142.72925	9287.337504
15:45:00	3	Mi	5127.537688	6983.262034	9138.345014	6829.977333	13869.73389	9568.62242
16:00:00	3	Mi	4855.993169	6406.501682	10733.17376	8760.226032	10256.91266	9775.885094
16:15:00	3	Mi	9411.594397	6030.646652	10272.24032	12721.42531	10509.78835	9874.581549
16:30:00	3	Mi	9204.690355	5946.82382	9132.893527	12389.22356	10250.59826	9904.190446
16:45:00	3	Mi	7193.608027	6523.129951	11586.04201	12323.67641	9234.820535	9914.060012
17:00:00	3	Mi	6308.754731	6338.085803	9687.988192	12841.472	8891.613712	9958.473555
17:15:00	3	Mi	7168.069948	6306.317635	10516.53505	12707.93668	11374.56737	10067.03958
17:30:00	3	Mi	9810.256099	6593.495523	13589.37114	12596.06131	12307.17939	10155.86647
17:45:00	3	Mi	12735.13341	6588.845745	10559.16881	12712.89627	14821.92356	10141.06202
18:00:00	3	Mi	10623.96912	6536.407251	11463.40558	13127.95963	12847.3862	9914.060012
18:15:00	3	Mi	10083.4175	6052.715498	10518.77336	12884.40734	17191.6646	9410.708172
18:30:00	3	Mi	8848.951614	6147.425664	8586.732519	12669.53644	15926.1866	8714.897908
18:45:00	3	Mi	7826.01283	6604.480473	7558.362761	12619.97654	10252.23261	7920.391388
19:00:00	3	Mi	7312.803846	7068.100221	4665.802711	13052.49942	7935.446152	7145.624198
19:15:00	3	Mi	7667.862375	7161.425148	3864.377157	12870.71836	11953.633	6479.423029
19:30:00	3	Mi	7489.91785	6922.95305	5612.848893	12859.87495	13397.13839	5926.722763
19:45:00	3	Mi	6140.296652	7364.308053	4194.926501	12601.44386	8917.232942	5492.458283
20:00:00	3	Mi	9099.63886	7217.24705	4118.527848	12740.18213	8660.21325	5161.82514
20:15:00	3	Mi	6484.063755	6140.37463	5144.268453	12535.34633	2392.674111	4934.823333
20:30:00	3	Mi	4884.98708	6833.278484	4060.26468	9856.433928	2438.798371	4771.974203
20:45:00	3	Mi	5016.930708	7017.248176	4082.290707	9941.56078	2456.043816	4643.668653
21:00:00	3	Mi	5009.372377	6965.49898	4964.808342	10228.05838	2439.649726	4520.298184
21:15:00	3	Mi	5018.62232	6562.757983	2788.578124	11952.8096	2347.252976	4367.318619
21:30:00	3	Mi	4954.432346	7283.306829	3576.450156	9912.781138	2727.792744	4204.469489
21:45:00	3	Mi	4787.778823	7368.038102	4478.25055	9896.733256	4515.814094	4051.489924
22:00:00	3	Mi	4982.693819	6839.625609	3023.679587	9723.559522	2669.890237	3918.249691
22:15:00	3	Mi	4803.901789	7214.367003	3771.286181	6767.354823	2400.989435	3829.422802
22:30:00	3	Mi	4694.071829	6960.708421	4301.529224	6714.150252	2386.226656	3770.205009
22:45:00	3	Mi	4552.661712	5385.576672	3342.557712	5918.520429	6941.012033	3730.726347
23:00:00	3	Mi	4921.144017	5929.128501	4254.182478	4568.62228	2428.011084	3686.313002
23:15:00	3	Mi	4111.620963	5635.063603	3467.87078	2054.204885	2373.06995	3636.964775
23:30:00	3	Mi	3956.148895	5123.170372	2865.183612	607.7291389	2526.020067	3567.877217
23:45:00	3	Mi	3303.155805	5804.06064	5024.334938	595.8062596	2477.353561	3479.050526
00:00:00	4	Do	2620.621705	5552.75052	3543.743276	579.1266256	2489.946903	3365.549425
00:15:00	4	Do	2656.25893	5317.597415	3088.530715	388.2764784	2470.170874	3232.309191
