RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
 4     1   1   3   7  8  230     5.0     4.2   1012.2     4.5   88  -1     0     0 1   302   -333  9
 4     1   1   3   8  8  230     5.0     4.2   1011.6     4.5   88  -1     0     0 1   302   -333  9
 4     1   1   3   9  8  230     5.0     4.3   1011.4     4.5   89  -1     0     6 1   321   -335  9
 4     1   1   3  10  8  220     5.0     4.6   1011.3     4.6   87  -1     0    19 1   323   -336  9
 4     1   1   3  11  8  220     6.0     5.0   1010.9     4.6   86  -1     0    31 1   325   -338  9
 4     1   1   3  12  8  230     6.0     5.4   1010.3     4.6   84  -1     0    42 1   327   -340  9
 4     1   1   3  13  7  230     6.0     6.0   1010.0     4.7   82  -1     0    75 1   312   -342  9
 4     1   1   3  14  8  220     5.0     6.4   1009.4     4.7   80  -1     0    58 1   332   -345  9
 4     1   1   3  15  8  210     6.0     6.3   1008.8     4.8   81  -1     0    25 1   313   -344  9
 4     1   1   3  16  7  230     5.0     6.2   1008.4     4.7   81  -1     0    14 1   313   -343  9
 4     1   1   3  17  7  230     7.0     6.1   1008.2     4.7   82  -1     0     0 1   312   -343  9
 4     1   1   3  18  8  220     6.0     6.3   1007.8     4.7   80  -1     0     0 1   332   -345  9
 4     1   1   3  19  8  220     6.0     6.2   1007.5     4.8   83  21     0     0 1   331   -344  9
 4     1   1   3  20  8  230     7.0     6.4   1007.4     4.9   82  21     0     0 1   332   -345  9
 4     1   1   3  21  8  220     5.0     6.2   1007.3     4.9   84  -1     0     0 1   331   -344  9
 4     1   1   3  22  8  220     7.0     6.0   1006.9     4.8   83   2     0     0 1   330   -343  9
 4     1   1   3  23  8  230     7.0     5.9   1006.6     4.8   84  -1     0     0 1   330   -343  9
 4     1   1   3  24  8  230     7.0     5.6   1006.2     4.8   85  -1     0     0 1   328   -341  9
 4     1   1   4   1  8  230     7.0     5.4   1005.7     4.9   89   2     0     0 1   327   -340  9
 4     1   1   4   2  8  220     7.0     5.3   1005.4     4.9   88  -1     0     0 1   327   -340  9
 4     1   1   4   3  8  230     7.0     5.5   1005.2     4.8   86  51     0     0 1   328   -341  9
 4     1   1   4   4  8  230     7.0     5.2   1004.8     4.8   88  20     0     0 1   326   -339  9
 4     1   1   4   5  8  230     7.0     5.5   1004.6     4.7   84  20     0     0 1   328   -341  9
 4     1   1   4   6  8  230     7.0     5.4   1004.5     4.7   85  -1     0     0 1   327   -340  9
 4     1   1   4   7  8  230     7.0     5.3   1004.9     4.8   86  51     0     0 1   327   -340  9
 4     1   1   4   8  8  230     6.0     4.8   1005.0     4.9   92  20     0     0 1   324   -337  9
 4     1   1   4   9  8  230     6.0     4.9   1005.5     4.9   92  20     0     3 1   324   -338  9
 4     1   1   4  10  8  240     5.0     5.1   1006.0     5.0   91  51     0     8 1   307   -338  9
 4     1   1   4  11  8  230     4.0     5.1   1006.4     5.1   93  20     0    14 1   307   -338  9
 4     1   1   4  12  8  230     4.0     5.4   1006.2     5.1   91  20     0    25 1   309   -339  9
 4     1   1   4  13  8  230     4.0     5.6   1005.8     5.0   89  51     0    25 1   328   -341  9
 4     1   1   4  14  8  230     4.0     5.6   1005.4     5.0   89  20     0    22 1   328   -341  9
 4     1   1   4  15  8  220     3.0     5.5   1004.9     5.0   90  51     0     8 1   328   -341  9
 4     1   1   4  16  8  200     3.0     5.1   1004.6     5.1   94  51     0     6 1   326   -339  9
 4     1   1   4  17  8  190     3.0     5.1   1003.9     5.1   94  58     0     0 1   326   -339  9
 4     1   1   4  18  8  180     4.0     4.9   1003.1     5.0   94  21     0     0 1   306   -337  9
 4     1   1   4  19  8  190     4.0     4.9   1002.4     5.1   95  63     0     0 1   324   -338  9
 4     1   1   4  20  8  180     5.0     4.4   1001.6     5.0   97  63     0     0 1   303   -334  9
 4     1   1   4  21  8  190     5.0     4.3   1000.8     5.0   97  21     0     0 1   321   -335  9
 4     1   1   4  22  8  190     6.0     4.5   1000.2     5.1   97  61     0     0 1   322   -336  9
 4     1   1   4  23  8  210     6.0     4.6    999.6     5.1   97  61     0     0 1   323   -336  9
 4     1   1   4  24  8  210     6.0     5.0    998.9     5.3   97  61     0     0 1   325   -338  9
 4     1   1   5   1  5  230     7.0     5.5    999.1     5.5   97  21     0     0 1   283   -338  9
 4     1   1   5   2  7  240     8.0     5.4    999.2     5.2   94  -1     0     0 1   309   -339  9
 4     1   1   5   3  7  250     7.0     5.9    999.4     5.2   89  21     0     0 1   311   -342  9
 4     1   1   5   4  7  250    11.0     5.6    999.4     5.2   92  61     0     0 1   310   -340  9
 4     1   1   5   5  2  250    10.0     4.8   1000.5     4.8   90  25     0     0 1   259   -333  9
 4     1   1   5   6  4  270     9.0     4.4   1001.6     4.7   90  -1     0     0 1   268   -332  9
 4     1   1   5   7  6  270    10.0     3.9   1002.9     4.1   82   3     0     0 1   286   -331  9
 4     1   1   5   8  4  260    10.0     3.2   1003.8     4.0   84  -1     0     0 1   262   -326  9
 4     1   1   5   9  3  260     8.0     2.6   1005.1     4.0   87  -1     3    19 1   248   -322  9
 4     1   1   5  10  3  260     8.0     2.7   1006.5     3.9   85  -1    44    56 1   248   -323  9
 4     1   1   5  11  3  260     9.0     3.2   1007.3     4.0   84  -1   100    72 1   251   -325  9
 4     1   1   5  12  3  260     8.0     4.0   1007.8     4.0   80  -1   119    97 1   260   -329  9
 4     1   1   5  13  6  270     6.0     5.1   1008.5     4.2   77  -1    61   128 1   292   -337  9
