RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
11     1   1   3  22  9  240    18.0     1.6    859.0     4.9   99  63     0     0 1   308   -322  9
11     1   1   3  23  7  260    18.0     0.5    859.5     4.5   99  28     0     0 1   284   -316  9
11     1   1   3  24  6  260    19.0    -0.5    860.0     4.2   99  -1     0     0 1   235   -308  9
11     1   1   4   1  4  260    20.0    -0.9    861.4     4.1   99   1     0     0 1   240   -307  9
11     1   1   4   2  4  260    23.0    -1.7    861.9     3.7   94  -1     0     0 1   237   -303  9
11     1   1   4   3  9  250    21.0    -1.8    863.2     3.9  100  71     0     0 1   291   -306  9
11     1   1   4   4  6  260    22.0    -2.5    864.3     3.6   99  28     0     0 1   253   -301  9
11     1   1   4   5  7  260    22.0    -2.9    865.1     3.5   98  -1     0     0 1   267   -300  9
11     1   1   4   6  6  250    22.0    -3.0    865.2     3.4   97  -1     0     0 1   251   -298  9
11     1   1   4   7  5  250    20.0    -3.0    866.0     3.4   96   1     0     0 1   239   -298  9
11     1   1   4   8  7  250    17.0    -2.8    866.8     3.4   96  26     0     0 1   267   -300  9
11     1   1   4   9  7  240    13.0    -2.5    867.4     3.5   96  -1     3    14 1   269   -302  9
11     1   1   4  10  9  240    17.0    -2.5    867.2     3.5   97  71     0    19 1   288   -303  9
11     1   1   4  11  9  240    16.0    -2.2    867.4     3.7   99  71     3    39 1   289   -305  9
11     1   1   4  12  9  240    15.0    -2.0    867.3     3.8   99  73     3    56 1   290   -305  9
11     1   1   4  13  9  250    18.0    -2.1    867.0     3.7   99  71     3    64 1   290   -305  9
11     1   1   4  14  9  250    17.0    -2.0    867.0     3.8   99  49     3    58 1   290   -305  9
11     1   1   4  15  7  250    14.0    -2.0    867.0     3.8   99  36     3    33 1   271   -304  9
11     1   1   4  16  7  220    13.0    -2.0    866.3     3.8   99   2     0    11 1   271   -304  9
11     1   1   4  17  7  210    13.0    -1.9    865.4     3.8   99  -1     0     0 1   272   -305  9
11     1   1   4  18  7  190    14.0    -1.8    864.4     3.9  100  -1     0     0 1   272   -305  9
11     1   1   4  19  7  170    14.0    -2.1    862.9     3.7   99   2     0     0 1   271   -304  9
11     1   1   4  20  8  170    12.0    -1.8    861.5     3.8   99  27     0     0 1   241   -303  9
11     1   1   4  21  9  220    20.0    -1.3    862.3     3.8   95  73     0     0 1   294   -309  9
11     1   1   4  22  9  200    17.0    -1.8    860.2     3.8   99  71     0     0 1   291   -306  9
11     1   1   4  23  9  240    17.0    -1.5    860.6     3.9   99  71     0     0 1   293   -308  9
11     1   1   4  24  9  240    22.0    -1.2    860.1     4.0   99  71     0     0 1   294   -309  9
11     1   1   5   1  8  240    21.0    -1.5    860.4     3.9   99  87     0     0 1   274   -306  9
11     1   1   5   2  9  240    21.0    -2.1    860.7     3.7   99  95     0     0 1   290   -305  9
11     1   1   5   3  9  240    19.0    -2.1    861.2     3.7   98  49     0     0 1   290   -305  9
11     1   1   5   4  7  240    22.0    -2.4    861.0     3.6   98  38     0     0 1   269   -302  9
11     1   1   5   5  7  240    20.0    -2.3    861.2     3.6   98  38     0     0 1   270   -303  9
11     1   1   5   6  8  240    20.0    -2.5    861.1     3.6   97  38     0     0 1   269   -302  9
11     1   1   5   7  8  250    20.0    -2.5    861.5     3.5   96  87     0     0 1   269   -302  9
11     1   1   5   8  7  250    20.0    -2.7    862.7     3.5   96  87     0     0 1   268   -301  9
11     1   1   5   9  8  250    20.0    -2.5    863.8     3.5   94  88     3    11 1   231   -299  9
11     1   1   5  10  8  240    19.0    -2.8    864.2     3.5   98  86     0    28 1   268   -300  9
11     1   1   5  11  8  250    20.0    -2.8    864.7     3.5   98  86     3    36 1   268   -300  9
11     1   1   5  12  8  250    21.0    -2.6    865.3     3.5   98  85     3    81 1   269   -301  9
11     1   1   5  13  7  250    20.0    -2.6    865.8     3.5   97  26     6    78 1   268   -301  9
11     1   1   5  14  8  250    16.0    -2.2    866.6     3.5   93  38     6    72 1   270   -303  9
11     1   1   5  15  8  240    16.0    -2.3    866.6     3.5   94  37     3    33 1   270   -303  9
11     1   1   5  16  8  230    12.0    -2.4    866.6     3.5   94  37     0    11 1   269   -302  9
11     1   1   5  17  7  240    17.0    -2.0    865.5     3.6   94  37     0     0 1   271   -304  9
11     1   1   5  18  8  220    15.0    -2.1    865.4     3.5   94   2     0     0 1   271   -304  9
11     1   1   5  19  8  200    13.0    -2.2    864.7     3.5   94   2     0     0 1   270   -303  9
11     1   1   5  20  7  210    17.0    -2.0    863.3     3.5   92  -1     0     0 1   271   -304  9
11     1   1   5  21  7  210    16.0    -1.7    862.5     3.4   86  -1     0     0 1   273   -305  9
11     1   1   5  22  7  210    19.0    -1.6    861.2     3.2   81  -1     0     0 1   273   -306  9
11     1   1   5  23  9  210    18.0    -1.9    860.7     3.7   96  73     0     0 1   291   -306  9
